iso3,name,visited,comment
USA,United States of America,1,"Home"
AUS,Australia,1,"Brisbane & Sydney"
AUT,Austria,1,"Italy (Band) & Central Europe Trips"
CAN,Canada,1,"Montreal & Quebec"
CZE,Czechia,1,"Central Europe Trip"
DEU,Germany,1,"Italy & Central Europe Trips"
ESP,Spain,1,"Canary Islands"
GRC,Greece,1,"Aegean Cruise"
HUN,Hungary,1,"Central Europe Trip"
ITA,Italy,1,"Italy Band Trip"
MEX,Mexico,1,"Cancun"
SMR,San Marino,1,"Italy Band Trip"
SVK,Slovakia,1,"Central Europe Trip"
TUR,Turkey,1,"Aegean Cruise"
VAT,Vatican,1,"Italy Band Trip"
